seed,history_length,representation,split,horizon,signal,status,n_origins,n_forecast_samples,trajectory_rmse,endpoint_mae,mean_predicted_events,preprojection_invalid_state_rate,duration_clip_rate,zero_duration_displacement_projection_rate,postprojection_valid_rate,rollout_completion_rate,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,mean_input_raw_span,n_predictive_parameters,rollout_runtime_median_s,candidate_rmse_ratio_vs_control
228973438714350052,4,raw_ar,test,64,piecewise_linear,ok,11,704,0.032428547750519746,0.04674337578779622,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,224.0,28.0,29,0.0097931,1.4670722415960993
228973438714350052,4,raw_matched,test,64,piecewise_linear,ok,11,704,0.15016935810393198,0.3175463442081768,16.818181818181817,0.09090909090909091,0.0,0.09090909090909091,1.0,1.0,28.0,28.0,224.0,28.0,87,0.002074,0.3168091203209016
228973438714350052,4,vectorchain_absolute,test,64,piecewise_linear,ok,11,704,0.047573546148034204,0.0709547067719659,18.90909090909091,0.0,0.0,0.0,1.0,1.0,4.0,20.0,160.0,50.0,63,0.0027685,1.0000310275803772
228973438714350052,4,vectorchain_cartesian,test,64,piecewise_linear,ok,11,704,0.04052216901804958,0.05835069724341588,19.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,96.0,50.0,39,0.0028001,1.1740492523702286
228973438714350052,4,vectorchain_relational,test,64,piecewise_linear,ok,11,704,0.047575022240061146,0.07095299933416413,18.90909090909091,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,50.0,87,0.0027995,1.0
228973438714350052,4,fixed_relational,test,64,ramp,ok,11,704,0.5636981475444917,1.0241628445369093,15.090909090909092,0.0,0.36363636363636365,0.0,1.0,1.0,4.0,28.0,224.0,37.0,87,0.0023563,0.10643127140142478
228973438714350052,4,persistence,test,64,ramp,ok,11,704,0.02674277349832364,0.02998232743256205,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,5.1e-06,2.2434139276372718
228973438714350052,4,raw_ar,test,64,ramp,ok,11,704,0.03075186130242367,0.03312615793666514,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,224.0,28.0,29,0.0093894,1.950942414177048
228973438714350052,4,raw_matched,test,64,ramp,ok,11,704,0.9030625283433352,1.2997742112594521,22.818181818181817,0.45454545454545453,0.36363636363636365,0.45454545454545453,1.0,1.0,28.0,28.0,224.0,28.0,87,0.0023027,0.06643516771739935
228973438714350052,4,vectorchain_absolute,test,64,ramp,ok,11,704,0.06000479056137335,0.06831132566939346,19.0,0.0,0.0,0.0,1.0,1.0,4.0,20.0,160.0,48.54545454545455,63,0.0027049,0.9998386790205479
228973438714350052,4,vectorchain_cartesian,test,64,ramp,ok,11,704,0.04226930303988522,0.0448111996034855,19.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,96.0,48.54545454545455,39,0.0027385,1.4193541462743524
228973438714350052,4,vectorchain_relational,test,64,ramp,ok,11,704,0.059995110529788176,0.06829812666053403,19.0,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,48.54545454545455,87,0.0027106,1.0
228973438714350052,4,fixed_relational,test,64,regime_change,ok,14,896,0.4904108094638585,0.6063176623438963,12.5,0.0,0.2857142857142857,0.0,1.0,1.0,4.0,28.0,224.0,37.0,87,0.0018402000000000002,1.136622004821027
228973438714350052,4,persistence,test,64,regime_change,ok,14,896,0.6803189292383993,1.0603069118602517,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,4.95e-06,0.8193388328364206
228973438714350052,4,raw_ar,test,64,regime_change,ok,14,896,0.4623987630633334,0.8058560159991085,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,224.0,28.0,29,0.00948525,1.2054783921694152
228973438714350052,4,raw_matched,test,64,regime_change,ok,14,896,3.8788769137723977,4.688061156547638,23.785714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,1.0,28.0,28.0,224.0,28.0,87,0.0018773499999999999,0.14370440976344448
228973438714350052,4,vectorchain_absolute,test,64,regime_change,ok,14,896,0.5574166862838029,0.961084111164434,18.785714285714285,0.0,0.0,0.0,1.0,1.0,4.0,20.0,160.0,45.142857142857146,63,0.0027117499999999998,0.9999910859412506
228973438714350052,4,vectorchain_cartesian,test,64,regime_change,ok,14,896,0.5730943449145813,0.9870766038384319,19.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,96.0,45.142857142857146,39,0.002726,0.9726351732222985
