seed,horizon,context_length,tolerance,variant,features,n_examples,step_signature_sha256,matches_reference
31415,1,64,0.1,segment,"dt,dy",1680,a61c7a618f81878b870d23f3c9536ef4f811cfccb2f750686cc145afe72b9faa,True
31415,1,64,0.1,absolute_geometry,"dt,dy,theta,r",1680,a61c7a618f81878b870d23f3c9536ef4f811cfccb2f750686cc145afe72b9faa,True
31415,1,64,0.1,turning_matched,"dt,dy,theta,delta_theta",1680,a61c7a618f81878b870d23f3c9536ef4f811cfccb2f750686cc145afe72b9faa,True
31415,1,64,0.1,turning,"dt,dy,theta,r,delta_theta",1680,a61c7a618f81878b870d23f3c9536ef4f811cfccb2f750686cc145afe72b9faa,True
31415,1,64,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1680,a61c7a618f81878b870d23f3c9536ef4f811cfccb2f750686cc145afe72b9faa,True
31415,4,64,0.1,segment,"dt,dy",1680,94c07b56fdab285bbb0fa435dcbbb24a05a380edb752f9e9989734a5f3d17448,True
31415,4,64,0.1,absolute_geometry,"dt,dy,theta,r",1680,94c07b56fdab285bbb0fa435dcbbb24a05a380edb752f9e9989734a5f3d17448,True
31415,4,64,0.1,turning_matched,"dt,dy,theta,delta_theta",1680,94c07b56fdab285bbb0fa435dcbbb24a05a380edb752f9e9989734a5f3d17448,True
31415,4,64,0.1,turning,"dt,dy,theta,r,delta_theta",1680,94c07b56fdab285bbb0fa435dcbbb24a05a380edb752f9e9989734a5f3d17448,True
31415,4,64,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1680,94c07b56fdab285bbb0fa435dcbbb24a05a380edb752f9e9989734a5f3d17448,True
31415,16,64,0.1,segment,"dt,dy",1659,460b2df6d4de50a27a6d06afa3c73ace3800f2517004c6c5a68f38bda600f908,True
31415,16,64,0.1,absolute_geometry,"dt,dy,theta,r",1659,460b2df6d4de50a27a6d06afa3c73ace3800f2517004c6c5a68f38bda600f908,True
31415,16,64,0.1,turning_matched,"dt,dy,theta,delta_theta",1659,460b2df6d4de50a27a6d06afa3c73ace3800f2517004c6c5a68f38bda600f908,True
31415,16,64,0.1,turning,"dt,dy,theta,r,delta_theta",1659,460b2df6d4de50a27a6d06afa3c73ace3800f2517004c6c5a68f38bda600f908,True
31415,16,64,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1659,460b2df6d4de50a27a6d06afa3c73ace3800f2517004c6c5a68f38bda600f908,True
31415,1,128,0.1,segment,"dt,dy",1568,2b99069b73714143b252332cb7a0cc8da17b7955b9242c2a1677e2f43b20dfa5,True
31415,1,128,0.1,absolute_geometry,"dt,dy,theta,r",1568,2b99069b73714143b252332cb7a0cc8da17b7955b9242c2a1677e2f43b20dfa5,True
31415,1,128,0.1,turning_matched,"dt,dy,theta,delta_theta",1568,2b99069b73714143b252332cb7a0cc8da17b7955b9242c2a1677e2f43b20dfa5,True
31415,1,128,0.1,turning,"dt,dy,theta,r,delta_theta",1568,2b99069b73714143b252332cb7a0cc8da17b7955b9242c2a1677e2f43b20dfa5,True
31415,1,128,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1568,2b99069b73714143b252332cb7a0cc8da17b7955b9242c2a1677e2f43b20dfa5,True
31415,4,128,0.1,segment,"dt,dy",1568,2e9445a4afd61ca3cb99cc602d976f5a3fb715cb2b87095ccd3121e33e7ef8c3,True
31415,4,128,0.1,absolute_geometry,"dt,dy,theta,r",1568,2e9445a4afd61ca3cb99cc602d976f5a3fb715cb2b87095ccd3121e33e7ef8c3,True
31415,4,128,0.1,turning_matched,"dt,dy,theta,delta_theta",1568,2e9445a4afd61ca3cb99cc602d976f5a3fb715cb2b87095ccd3121e33e7ef8c3,True
31415,4,128,0.1,turning,"dt,dy,theta,r,delta_theta",1568,2e9445a4afd61ca3cb99cc602d976f5a3fb715cb2b87095ccd3121e33e7ef8c3,True
31415,4,128,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1568,2e9445a4afd61ca3cb99cc602d976f5a3fb715cb2b87095ccd3121e33e7ef8c3,True
31415,16,128,0.1,segment,"dt,dy",1547,aefdf57b8854b6de03a9c82783ae4094d382272a98947d5dc47ec3860dea080b,True
31415,16,128,0.1,absolute_geometry,"dt,dy,theta,r",1547,aefdf57b8854b6de03a9c82783ae4094d382272a98947d5dc47ec3860dea080b,True
31415,16,128,0.1,turning_matched,"dt,dy,theta,delta_theta",1547,aefdf57b8854b6de03a9c82783ae4094d382272a98947d5dc47ec3860dea080b,True
31415,16,128,0.1,turning,"dt,dy,theta,r,delta_theta",1547,aefdf57b8854b6de03a9c82783ae4094d382272a98947d5dc47ec3860dea080b,True
31415,16,128,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1547,aefdf57b8854b6de03a9c82783ae4094d382272a98947d5dc47ec3860dea080b,True
104729,1,32,0.1,segment,"dt,dy",1736,5250c8b27c183ce3ecebbdf59c5244f8d55b10448342d6311441f60d2b42cf5e,True
104729,1,32,0.1,absolute_geometry,"dt,dy,theta,r",1736,5250c8b27c183ce3ecebbdf59c5244f8d55b10448342d6311441f60d2b42cf5e,True
104729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",1736,5250c8b27c183ce3ecebbdf59c5244f8d55b10448342d6311441f60d2b42cf5e,True
104729,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",1736,5250c8b27c183ce3ecebbdf59c5244f8d55b10448342d6311441f60d2b42cf5e,True
104729,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1736,5250c8b27c183ce3ecebbdf59c5244f8d55b10448342d6311441f60d2b42cf5e,True
104729,4,32,0.1,segment,"dt,dy",1736,c7e62314348ecdc26ba3a22fa0b6a49eb0ac6a3a923ca39f36493c1f1e176221,True
104729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",1736,c7e62314348ecdc26ba3a22fa0b6a49eb0ac6a3a923ca39f36493c1f1e176221,True
104729,4,32,0.1,turning_matched,"dt,dy,theta,delta_theta",1736,c7e62314348ecdc26ba3a22fa0b6a49eb0ac6a3a923ca39f36493c1f1e176221,True
104729,4,32,0.1,turning,"dt,dy,theta,r,delta_theta",1736,c7e62314348ecdc26ba3a22fa0b6a49eb0ac6a3a923ca39f36493c1f1e176221,True
104729,4,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1736,c7e62314348ecdc26ba3a22fa0b6a49eb0ac6a3a923ca39f36493c1f1e176221,True
104729,16,32,0.1,segment,"dt,dy",1715,ad4790ca7d1e8c8bb875df1bcc817ea00684ac90d8880797f8c9239264becbbb,True
104729,16,32,0.1,absolute_geometry,"dt,dy,theta,r",1715,ad4790ca7d1e8c8bb875df1bcc817ea00684ac90d8880797f8c9239264becbbb,True
104729,16,32,0.1,turning_matched,"dt,dy,theta,delta_theta",1715,ad4790ca7d1e8c8bb875df1bcc817ea00684ac90d8880797f8c9239264becbbb,True
104729,16,32,0.1,turning,"dt,dy,theta,r,delta_theta",1715,ad4790ca7d1e8c8bb875df1bcc817ea00684ac90d8880797f8c9239264becbbb,True
104729,16,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1715,ad4790ca7d1e8c8bb875df1bcc817ea00684ac90d8880797f8c9239264becbbb,True
104729,1,64,0.1,segment,"dt,dy",1680,8c361f882a2be88409a6f22d0e7e0e2e8960fdfd146cc3df5aabc37f92b178e9,True
104729,1,64,0.1,absolute_geometry,"dt,dy,theta,r",1680,8c361f882a2be88409a6f22d0e7e0e2e8960fdfd146cc3df5aabc37f92b178e9,True
104729,1,64,0.1,turning_matched,"dt,dy,theta,delta_theta",1680,8c361f882a2be88409a6f22d0e7e0e2e8960fdfd146cc3df5aabc37f92b178e9,True
104729,1,64,0.1,turning,"dt,dy,theta,r,delta_theta",1680,8c361f882a2be88409a6f22d0e7e0e2e8960fdfd146cc3df5aabc37f92b178e9,True
104729,1,64,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1680,8c361f882a2be88409a6f22d0e7e0e2e8960fdfd146cc3df5aabc37f92b178e9,True
104729,4,64,0.1,segment,"dt,dy",1680,e548e3d27b7bb1927e5ad41dafbb6b90c1139e130a830511673342a07b5dab7f,True
104729,4,64,0.1,absolute_geometry,"dt,dy,theta,r",1680,e548e3d27b7bb1927e5ad41dafbb6b90c1139e130a830511673342a07b5dab7f,True
104729,4,64,0.1,turning_matched,"dt,dy,theta,delta_theta",1680,e548e3d27b7bb1927e5ad41dafbb6b90c1139e130a830511673342a07b5dab7f,True
104729,4,64,0.1,turning,"dt,dy,theta,r,delta_theta",1680,e548e3d27b7bb1927e5ad41dafbb6b90c1139e130a830511673342a07b5dab7f,True
104729,4,64,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1680,e548e3d27b7bb1927e5ad41dafbb6b90c1139e130a830511673342a07b5dab7f,True
104729,16,64,0.1,segment,"dt,dy",1659,7744cf9de204bc19b75d2bdd6d7e254d5a2d2871a4503acd5a8ed84bdc16264d,True
104729,16,64,0.1,absolute_geometry,"dt,dy,theta,r",1659,7744cf9de204bc19b75d2bdd6d7e254d5a2d2871a4503acd5a8ed84bdc16264d,True
104729,16,64,0.1,turning_matched,"dt,dy,theta,delta_theta",1659,7744cf9de204bc19b75d2bdd6d7e254d5a2d2871a4503acd5a8ed84bdc16264d,True
104729,16,64,0.1,turning,"dt,dy,theta,r,delta_theta",1659,7744cf9de204bc19b75d2bdd6d7e254d5a2d2871a4503acd5a8ed84bdc16264d,True
104729,16,64,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1659,7744cf9de204bc19b75d2bdd6d7e254d5a2d2871a4503acd5a8ed84bdc16264d,True
104729,1,128,0.1,segment,"dt,dy",1568,6f73f1262d576f3db517bf287306268b9cfa52157bde66a3fd2e47c58a64a27c,True
104729,1,128,0.1,absolute_geometry,"dt,dy,theta,r",1568,6f73f1262d576f3db517bf287306268b9cfa52157bde66a3fd2e47c58a64a27c,True
104729,1,128,0.1,turning_matched,"dt,dy,theta,delta_theta",1568,6f73f1262d576f3db517bf287306268b9cfa52157bde66a3fd2e47c58a64a27c,True
104729,1,128,0.1,turning,"dt,dy,theta,r,delta_theta",1568,6f73f1262d576f3db517bf287306268b9cfa52157bde66a3fd2e47c58a64a27c,True
104729,1,128,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1568,6f73f1262d576f3db517bf287306268b9cfa52157bde66a3fd2e47c58a64a27c,True
104729,4,128,0.1,segment,"dt,dy",1568,a11d5a19e7c9e101c79dc643b9e856034c528506ecaf07a4096e80077523029f,True
104729,4,128,0.1,absolute_geometry,"dt,dy,theta,r",1568,a11d5a19e7c9e101c79dc643b9e856034c528506ecaf07a4096e80077523029f,True
104729,4,128,0.1,turning_matched,"dt,dy,theta,delta_theta",1568,a11d5a19e7c9e101c79dc643b9e856034c528506ecaf07a4096e80077523029f,True
