condition_id,seed,horizon,context_length,tolerance,variant,features,role,representation,split,signal,n_examples,mae,rmse,rmse_ratio_vs_reference
seed-1729__h-4__c-32__raw,1729,4,32,,,,baseline,raw,test,chirp,52,0.05293583101036135,0.060770644367838605,
seed-1729__h-4__c-32__raw,1729,4,32,,,,baseline,raw,test,ramp,52,0.01376404177573252,0.0164134708067434,
seed-1729__h-4__c-32__raw,1729,4,32,,,,baseline,raw,test,piecewise_linear,52,0.012362590365774426,0.015569873481231013,
seed-1729__h-4__c-32__raw,1729,4,32,,,,baseline,raw,test,first_order_response,52,0.01414323104375482,0.017415186673842193,
seed-1729__h-4__c-32__raw,1729,4,32,,,,baseline,raw,test,second_order_response,52,0.014184371502245332,0.017039324003800947,
seed-1729__h-4__c-32__raw,1729,4,32,,,,baseline,raw,test,regime_change,52,0.06924983014497481,0.07606044299504565,
seed-1729__h-4__c-32__first_difference,1729,4,32,,,,baseline,first_difference,validation,sine,51,0.01990336928026324,0.025008709601034965,
seed-1729__h-4__c-32__first_difference,1729,4,32,,,,baseline,first_difference,validation,chirp,51,0.05855823557134459,0.06605086605709395,
seed-1729__h-4__c-32__first_difference,1729,4,32,,,,baseline,first_difference,validation,ramp,51,0.00934221868995489,0.011469759575047821,
seed-1729__h-4__c-32__first_difference,1729,4,32,,,,baseline,first_difference,validation,piecewise_linear,51,0.013093901578812886,0.016155094523340723,
seed-1729__h-4__c-32__first_difference,1729,4,32,,,,baseline,first_difference,validation,first_order_response,51,0.011455669056057155,0.014223453147174759,
seed-1729__h-4__c-32__first_difference,1729,4,32,,,,baseline,first_difference,validation,second_order_response,51,0.010751265139616318,0.013249963816934402,
seed-1729__h-4__c-32__first_difference,1729,4,32,,,,baseline,first_difference,validation,regime_change,51,0.10285088905594653,0.11477075913389898,
seed-1729__h-4__c-32__first_difference,1729,4,32,,,,baseline,first_difference,test,sine,52,0.01874845753778755,0.023109555725616255,
seed-1729__h-4__c-32__first_difference,1729,4,32,,,,baseline,first_difference,test,chirp,52,0.08235567076612262,0.09400754093880637,
seed-1729__h-4__c-32__first_difference,1729,4,32,,,,baseline,first_difference,test,ramp,52,0.012130908598248981,0.014249059761940248,
seed-1729__h-4__c-32__first_difference,1729,4,32,,,,baseline,first_difference,test,piecewise_linear,52,0.011116287657394131,0.01382502164571395,
seed-1729__h-4__c-32__first_difference,1729,4,32,,,,baseline,first_difference,test,first_order_response,52,0.012142436002255728,0.015202468269831617,
seed-1729__h-4__c-32__first_difference,1729,4,32,,,,baseline,first_difference,test,second_order_response,52,0.011277268437640625,0.014153421003776454,
seed-1729__h-4__c-32__first_difference,1729,4,32,,,,baseline,first_difference,test,regime_change,52,0.10294018863726456,0.11359764831245096,
seed-1729__h-4__c-32__segment,1729,4,32,0.1,segment,"dt,dy",secondary,vectorchain,validation,sine,51,0.01996535461171769,0.024392059432469367,0.9991804735319684
seed-1729__h-4__c-32__segment,1729,4,32,0.1,segment,"dt,dy",secondary,vectorchain,validation,chirp,51,0.062441692114710234,0.07985586220397443,1.9896419346039385
seed-1729__h-4__c-32__segment,1729,4,32,0.1,segment,"dt,dy",secondary,vectorchain,validation,ramp,51,0.009709883885020703,0.01203638135522299,0.9990164456224349
seed-1729__h-4__c-32__segment,1729,4,32,0.1,segment,"dt,dy",secondary,vectorchain,validation,piecewise_linear,51,0.013857703605348562,0.016791939408794067,1.0021330039625014
seed-1729__h-4__c-32__segment,1729,4,32,0.1,segment,"dt,dy",secondary,vectorchain,validation,first_order_response,51,0.012074051115947164,0.014937410439040413,0.9999970529848845
seed-1729__h-4__c-32__segment,1729,4,32,0.1,segment,"dt,dy",secondary,vectorchain,validation,second_order_response,51,0.011468600577806187,0.013945758538273238,0.9981484623517753
seed-1729__h-4__c-32__segment,1729,4,32,0.1,segment,"dt,dy",secondary,vectorchain,validation,regime_change,51,0.11528350407680257,0.1514826854908422,3.5006694383280355
seed-1729__h-4__c-32__segment,1729,4,32,0.1,segment,"dt,dy",secondary,vectorchain,test,sine,52,0.018829542587812824,0.023212826693290445,0.9998756214585002
seed-1729__h-4__c-32__segment,1729,4,32,0.1,segment,"dt,dy",secondary,vectorchain,test,chirp,52,0.07187445546159402,0.10003223399990542,2.36889764550621
seed-1729__h-4__c-32__segment,1729,4,32,0.1,segment,"dt,dy",secondary,vectorchain,test,ramp,52,0.012601121785273773,0.014827616604843516,0.9995917646033458
seed-1729__h-4__c-32__segment,1729,4,32,0.1,segment,"dt,dy",secondary,vectorchain,test,piecewise_linear,52,0.0115385709332967,0.014656942509206497,1.0007584114119064
seed-1729__h-4__c-32__segment,1729,4,32,0.1,segment,"dt,dy",secondary,vectorchain,test,first_order_response,52,0.01250589899993266,0.015714528766206104,1.0003345533670291
seed-1729__h-4__c-32__segment,1729,4,32,0.1,segment,"dt,dy",secondary,vectorchain,test,second_order_response,52,0.011931801400122642,0.014831824023278295,1.0009331208124117
seed-1729__h-4__c-32__segment,1729,4,32,0.1,segment,"dt,dy",secondary,vectorchain,test,regime_change,52,0.1067388854634996,0.1461309222881763,3.0407295163287893
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,sine,51,0.020025122096214005,0.024412065766504346,1.0
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,chirp,51,0.03183085875089885,0.040135795700280454,1.0
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,ramp,51,0.009699371290105395,0.012048231446003626,1.0
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,piecewise_linear,51,0.013814994146704692,0.016756198371271683,1.0
