representation,variant,features,role,split,horizon,context_length,tolerance,signal,n_seeds,mae_mean,mae_median,rmse_mean,rmse_median,rmse_q1,rmse_q3,rmse_min,rmse_max,rmse_ratio_vs_reference_mean,rmse_ratio_vs_reference_median
first_difference,,,baseline,validation,16,64,,ramp,5,0.03370649688078533,0.0346347963287455,0.04349734611485256,0.045584592661926354,0.04241626858797157,0.045949691660651056,0.034327676321623174,0.04920850134209065,,
first_difference,,,baseline,validation,16,64,,regime_change,5,0.5760828685255565,0.5769610522738365,0.6450198987939674,0.6474352892126128,0.6385152670342534,0.6504101760622286,0.6299152689679908,0.6588234926927509,,
first_difference,,,baseline,validation,16,64,,second_order_response,5,0.03897620174378503,0.03847326284060334,0.04942913858594719,0.049263053473194596,0.04704472642521677,0.051970094777177504,0.04361323636178907,0.05525458189235802,,
first_difference,,,baseline,validation,16,64,,sine,5,0.12564235736531945,0.12499274871569371,0.14065138118482876,0.14011985993281745,0.13842826923713483,0.1425072562822676,0.13477497198612648,0.1474265484857975,,
first_difference,,,baseline,validation,16,128,,chirp,5,0.3238160186209308,0.3277655965609753,0.3606757120507153,0.36479574358206096,0.35034585159276194,0.3657708424876682,0.3502730304269445,0.37219309216414087,,
first_difference,,,baseline,validation,16,128,,first_order_response,5,0.05890346774613896,0.059143320648430545,0.07465945525520287,0.07289358437018514,0.07060758216945726,0.07907232864942676,0.06936857604125259,0.0813552050456926,,
first_difference,,,baseline,validation,16,128,,piecewise_linear,5,0.06411146872569853,0.0603394055999083,0.08031332373137338,0.07609686872807113,0.07449495556731707,0.08465639644890346,0.06544386325363528,0.10087453465893993,,
first_difference,,,baseline,validation,16,128,,ramp,5,0.05221975934591536,0.05428506638026409,0.06664730005763739,0.06841086631217153,0.06735219813077471,0.07077486036067501,0.05504871747191992,0.0716498580126458,,
first_difference,,,baseline,validation,16,128,,regime_change,5,0.4426399495463336,0.43844573478498466,0.514598218016028,0.5143242771760298,0.4975988277649269,0.5330963296242978,0.49286440305975754,0.5351072524551282,,
first_difference,,,baseline,validation,16,128,,second_order_response,5,0.05990620199076575,0.06030094391309824,0.07494361441678292,0.07361709889304914,0.07274021202333537,0.07721766185511277,0.0722575837591551,0.07888551555326226,,
first_difference,,,baseline,validation,16,128,,sine,5,0.15226964861084952,0.14978734245602648,0.17702271640494877,0.17731665321124426,0.17247701225990444,0.1785235534477566,0.1697948167114443,0.18700154639439429,,
raw,,,baseline,test,1,32,,chirp,5,0.015593631473678187,0.015372567251384634,0.019286427031947006,0.018560667561997306,0.01787128955674303,0.02090350607449752,0.017586902391154624,0.021509769575342553,,
raw,,,baseline,test,1,32,,first_order_response,5,0.011558095458882017,0.010674003815085566,0.014074534864858448,0.01400246397349945,0.012311289642599673,0.015783962683508623,0.011743215793333584,0.016531742231350913,,
raw,,,baseline,test,1,32,,piecewise_linear,5,0.011244880467152782,0.011319155969314841,0.013669095224789526,0.013946992744983039,0.012341905440432201,0.01473337026727333,0.011112463323522188,0.016210744347736877,,
raw,,,baseline,test,1,32,,ramp,5,0.011309621825321251,0.011419890933684047,0.013960273275051897,0.014199111170360828,0.013671516676082062,0.014235156785607713,0.012096284135612381,0.015599297607596492,,
raw,,,baseline,test,1,32,,regime_change,5,0.01761424854818547,0.0173467834512846,0.021552652778438867,0.021137345562888626,0.021109720899796805,0.022149401100877198,0.020163091735342867,0.02320370459328885,,
raw,,,baseline,test,1,32,,second_order_response,5,0.011295200975879719,0.010981421544614524,0.014249831045499633,0.013796523690549775,0.013194999213831183,0.01442101357980676,0.012810599778696261,0.01702601896461418,,
