representation,role,causal_scope,split,horizon,context_length,signal,n_seeds,rmse_mean,rmse_median,candidate_rmse_ratio_vs_control_mean,candidate_rmse_ratio_vs_control_median
moving_average_geometry,causal_control,strict_online,test,1,32,chirp,5,0.02726233562905881,0.02701510369203492,0.7196940544760059,0.8144926352206647
moving_average_geometry,causal_control,strict_online,test,1,32,first_order_response,5,0.013397986165132613,0.014132551055727962,1.0346706005164614,1.0374530225410528
moving_average_geometry,causal_control,strict_online,test,1,32,piecewise_linear,5,0.013153399005900299,0.013596297003762263,1.023921430737958,1.0327972282894478
moving_average_geometry,causal_control,strict_online,test,1,32,ramp,5,0.013483347802775044,0.013323103652118003,1.0141076004536829,1.0140482191137692
moving_average_geometry,causal_control,strict_online,test,1,32,regime_change,5,0.03440492367297491,0.036443044731807026,0.6905278390943269,0.6847294690114124
moving_average_geometry,causal_control,strict_online,test,1,32,second_order_response,5,0.013518940836498742,0.012805206655969202,1.0362782100764742,1.0307939237935353
moving_average_geometry,causal_control,strict_online,test,1,32,sine,5,0.014618105024391457,0.014513258190505862,1.012234213968006,1.0070433388258417
moving_average_geometry,causal_control,strict_online,test,1,64,chirp,5,0.022800297647631217,0.020543670813203588,0.8202146298770081,0.8090075442674461
moving_average_geometry,causal_control,strict_online,test,1,64,first_order_response,5,0.014331276627390083,0.014484873949855153,0.9625210441499709,0.9632458273107315
moving_average_geometry,causal_control,strict_online,test,1,64,piecewise_linear,5,0.01392333927819821,0.014241956137883855,0.9646933480552848,0.9625282905686098
moving_average_geometry,causal_control,strict_online,test,1,64,ramp,5,0.013996220650739572,0.014226551428656548,0.9714862337651533,0.973061988322146
moving_average_geometry,causal_control,strict_online,test,1,64,regime_change,5,0.02535120056103392,0.021631204307097564,0.8093805952655349,0.8226454404874209
moving_average_geometry,causal_control,strict_online,test,1,64,second_order_response,5,0.014382870341595074,0.013540303174612323,0.9664983437865523,0.9686876426415234
moving_average_geometry,causal_control,strict_online,test,1,64,sine,5,0.015279411107041197,0.0154123614739589,0.9622580012512201,0.9592574957483478
moving_average_geometry,causal_control,strict_online,test,1,128,chirp,5,0.017436487109478056,0.01691159481288607,1.048434784060579,1.0512350825376715
moving_average_geometry,causal_control,strict_online,test,1,128,first_order_response,5,0.014481366160812203,0.014477790269370324,0.9468742202383428,0.9422440633968044
moving_average_geometry,causal_control,strict_online,test,1,128,piecewise_linear,5,0.01412739323815762,0.014311459442354475,0.9490912877052802,0.9499357361820667
moving_average_geometry,causal_control,strict_online,test,1,128,ramp,5,0.014127302688794788,0.01435075797817688,0.9605069228972198,0.961689885299684
moving_average_geometry,causal_control,strict_online,test,1,128,regime_change,5,0.017823910487025706,0.017587191079577413,1.115930453032621,1.1432083089152725
moving_average_geometry,causal_control,strict_online,test,1,128,second_order_response,5,0.014544153708893426,0.013776001836036843,0.9572967699440678,0.9543297239482258
moving_average_geometry,causal_control,strict_online,test,1,128,sine,5,0.015031905678155438,0.015240721650087642,0.9795127513304316,0.9826728875973787
moving_average_geometry,causal_control,strict_online,test,4,32,chirp,5,0.057431318535830944,0.04810209686266854,0.9653714389110268,0.9627264118886397
moving_average_geometry,causal_control,strict_online,test,4,32,first_order_response,5,0.01820431821692358,0.018412363126617075,0.8805092814657624,0.8714626562094909
moving_average_geometry,causal_control,strict_online,test,4,32,piecewise_linear,5,0.01806789001807929,0.018012424263769575,0.8462385209993524,0.8387256729567939
moving_average_geometry,causal_control,strict_online,test,4,32,ramp,5,0.016341718347743332,0.017693002197723504,0.8608676024762507,0.8596086454700022
moving_average_geometry,causal_control,strict_online,test,4,32,regime_change,5,0.074208516476552,0.06009763960798197,0.923875590403488,0.9025095240149957
moving_average_geometry,causal_control,strict_online,test,4,32,second_order_response,5,0.019239531117191518,0.019467132955235146,0.8517963142635315,0.8332925824738668
