condition_id,seed,horizon,context_length,tolerance,role,causal_scope,selected_parameter,representation,split,signal,n_examples,mae,rmse,candidate_rmse_ratio_vs_control
seed-1729__h-1__c-32__fixed_geometry,1729,1,32,,causal_control,forecast_causal_fixed_boundaries,32,fixed_geometry,validation,chirp,51,0.014963146915244136,0.018530219157918828,0.9541755211944817
seed-1729__h-1__c-32__fixed_geometry,1729,1,32,,causal_control,forecast_causal_fixed_boundaries,32,fixed_geometry,validation,ramp,51,0.011457466235984535,0.013923570640488684,1.0005444016917313
seed-1729__h-1__c-32__fixed_geometry,1729,1,32,,causal_control,forecast_causal_fixed_boundaries,32,fixed_geometry,validation,piecewise_linear,51,0.014120130469472041,0.017211196727817245,1.006010123871246
seed-1729__h-1__c-32__fixed_geometry,1729,1,32,,causal_control,forecast_causal_fixed_boundaries,32,fixed_geometry,validation,first_order_response,51,0.01058427031356792,0.014023047120457892,1.0017766602191358
seed-1729__h-1__c-32__fixed_geometry,1729,1,32,,causal_control,forecast_causal_fixed_boundaries,32,fixed_geometry,validation,second_order_response,51,0.0109330701153108,0.01382382757746444,0.9991242174435092
seed-1729__h-1__c-32__fixed_geometry,1729,1,32,,causal_control,forecast_causal_fixed_boundaries,32,fixed_geometry,validation,regime_change,51,0.02318056716621166,0.02761330402933726,0.7484148019237037
seed-1729__h-1__c-32__fixed_geometry,1729,1,32,,causal_control,forecast_causal_fixed_boundaries,32,fixed_geometry,test,sine,51,0.011149149697912749,0.014727968134425827,1.0035662625631063
seed-1729__h-1__c-32__fixed_geometry,1729,1,32,,causal_control,forecast_causal_fixed_boundaries,32,fixed_geometry,test,chirp,51,0.02161505282470747,0.026572342636911602,0.7770004853364157
seed-1729__h-1__c-32__fixed_geometry,1729,1,32,,causal_control,forecast_causal_fixed_boundaries,32,fixed_geometry,test,ramp,51,0.01135201225908076,0.014122857645199346,1.0022788552088444
seed-1729__h-1__c-32__fixed_geometry,1729,1,32,,causal_control,forecast_causal_fixed_boundaries,32,fixed_geometry,test,piecewise_linear,51,0.009372298179614729,0.01097352022271376,0.9967588087082375
seed-1729__h-1__c-32__fixed_geometry,1729,1,32,,causal_control,forecast_causal_fixed_boundaries,32,fixed_geometry,test,first_order_response,51,0.010417228447568231,0.012464472256133344,1.002462291584466
seed-1729__h-1__c-32__fixed_geometry,1729,1,32,,causal_control,forecast_causal_fixed_boundaries,32,fixed_geometry,test,second_order_response,51,0.011323108328609109,0.014222744084806322,0.9999512770768116
seed-1729__h-1__c-32__fixed_geometry,1729,1,32,,causal_control,forecast_causal_fixed_boundaries,32,fixed_geometry,test,regime_change,51,0.02502503453563525,0.029263233323374483,0.8869172090916475
seed-1729__h-1__c-32__abba_geometry,1729,1,32,,external_control,window_offline,0.3,abba_geometry,validation,sine,51,0.011479506193673106,0.014775098075963689,1.0090634189072705
seed-1729__h-1__c-32__abba_geometry,1729,1,32,,external_control,window_offline,0.3,abba_geometry,validation,chirp,51,0.014963146915244136,0.018530219157918828,0.9541755211944817
seed-1729__h-1__c-32__abba_geometry,1729,1,32,,external_control,window_offline,0.3,abba_geometry,validation,ramp,51,0.011457466235984535,0.013923570640488684,1.0005444016917313
seed-1729__h-1__c-32__abba_geometry,1729,1,32,,external_control,window_offline,0.3,abba_geometry,validation,piecewise_linear,51,0.014120130469472041,0.017211196727817245,1.006010123871246
seed-1729__h-1__c-32__abba_geometry,1729,1,32,,external_control,window_offline,0.3,abba_geometry,validation,first_order_response,51,0.01058427031356792,0.014023047120457892,1.0017766602191358
seed-1729__h-1__c-32__abba_geometry,1729,1,32,,external_control,window_offline,0.3,abba_geometry,validation,second_order_response,51,0.0109330701153108,0.01382382757746444,0.9991242174435092
seed-1729__h-1__c-32__abba_geometry,1729,1,32,,external_control,window_offline,0.3,abba_geometry,validation,regime_change,51,0.02318056716621166,0.02761330402933726,0.7484148019237037
seed-1729__h-1__c-32__abba_geometry,1729,1,32,,external_control,window_offline,0.3,abba_geometry,test,sine,51,0.011149149697912749,0.014727968134425827,1.0035662625631063
seed-1729__h-1__c-32__abba_geometry,1729,1,32,,external_control,window_offline,0.3,abba_geometry,test,chirp,51,0.02161505282470747,0.026572342636911602,0.7770004853364157
seed-1729__h-1__c-32__abba_geometry,1729,1,32,,external_control,window_offline,0.3,abba_geometry,test,ramp,51,0.01135201225908076,0.014122857645199346,1.0022788552088444
seed-1729__h-1__c-32__abba_geometry,1729,1,32,,external_control,window_offline,0.3,abba_geometry,test,piecewise_linear,51,0.009372298179614729,0.01097352022271376,0.9967588087082375
seed-1729__h-1__c-32__abba_geometry,1729,1,32,,external_control,window_offline,0.3,abba_geometry,test,first_order_response,51,0.010417228447568231,0.012464472256133344,1.002462291584466
seed-1729__h-1__c-32__abba_geometry,1729,1,32,,external_control,window_offline,0.3,abba_geometry,test,second_order_response,51,0.011323108328609109,0.014222744084806322,0.9999512770768116
seed-1729__h-1__c-32__abba_geometry,1729,1,32,,external_control,window_offline,0.3,abba_geometry,test,regime_change,51,0.02502503453563525,0.029263233323374483,0.8869172090916475
seed-1729__h-4__c-32__raw,1729,4,32,,baseline,strict_online,,raw,validation,sine,51,0.014499984499416668,0.017795077747970064,
seed-1729__h-4__c-32__raw,1729,4,32,,baseline,strict_online,,raw,validation,chirp,51,0.03411020673704572,0.040053294352207364,
seed-1729__h-4__c-32__raw,1729,4,32,,baseline,strict_online,,raw,validation,ramp,51,0.009839968294815432,0.012464863874844929,
seed-1729__h-4__c-32__raw,1729,4,32,,baseline,strict_online,,raw,validation,piecewise_linear,51,0.012682756659807054,0.016424244868584903,
seed-1729__h-4__c-32__raw,1729,4,32,,baseline,strict_online,,raw,validation,first_order_response,51,0.013814341809094986,0.016680175935559125,
seed-1729__h-4__c-32__raw,1729,4,32,,baseline,strict_online,,raw,validation,second_order_response,51,0.013460376946425035,0.016377064506552682,
seed-1729__h-4__c-32__raw,1729,4,32,,baseline,strict_online,,raw,validation,regime_change,51,0.06670112287618629,0.07585199247150513,
seed-1729__h-4__c-32__raw,1729,4,32,,baseline,strict_online,,raw,test,sine,52,0.014260216376213778,0.018109924695079275,
seed-1729__h-4__c-32__raw,1729,4,32,,baseline,strict_online,,raw,test,chirp,52,0.05293583101036135,0.060770644367838605,
seed-1729__h-4__c-32__raw,1729,4,32,,baseline,strict_online,,raw,test,ramp,52,0.01376404177573252,0.0164134708067434,
seed-1729__h-4__c-32__raw,1729,4,32,,baseline,strict_online,,raw,test,piecewise_linear,52,0.012362590365774426,0.015569873481231013,
seed-1729__h-4__c-32__raw,1729,4,32,,baseline,strict_online,,raw,test,first_order_response,52,0.01414323104375482,0.017415186673842193,
seed-1729__h-4__c-32__raw,1729,4,32,,baseline,strict_online,,raw,test,second_order_response,52,0.014184371502245332,0.017039324003800947,
seed-1729__h-4__c-32__raw,1729,4,32,,baseline,strict_online,,raw,test,regime_change,52,0.06924983014497481,0.07606044299504565,
seed-1729__h-4__c-32__first_difference,1729,4,32,,baseline,strict_online,,first_difference,validation,sine,51,0.01990336928026324,0.025008709601034965,
seed-1729__h-4__c-32__first_difference,1729,4,32,,baseline,strict_online,,first_difference,validation,chirp,51,0.05855823557134459,0.06605086605709395,
seed-1729__h-4__c-32__first_difference,1729,4,32,,baseline,strict_online,,first_difference,validation,ramp,51,0.00934221868995489,0.011469759575047821,
seed-1729__h-4__c-32__first_difference,1729,4,32,,baseline,strict_online,,first_difference,validation,piecewise_linear,51,0.013093901578812886,0.016155094523340723,
seed-1729__h-4__c-32__first_difference,1729,4,32,,baseline,strict_online,,first_difference,validation,first_order_response,51,0.011455669056057155,0.014223453147174759,
seed-1729__h-4__c-32__first_difference,1729,4,32,,baseline,strict_online,,first_difference,validation,second_order_response,51,0.010751265139616318,0.013249963816934402,
seed-1729__h-4__c-32__first_difference,1729,4,32,,baseline,strict_online,,first_difference,validation,regime_change,51,0.10285088905594653,0.11477075913389898,
seed-1729__h-4__c-32__first_difference,1729,4,32,,baseline,strict_online,,first_difference,test,sine,52,0.01874845753778755,0.023109555725616255,
seed-1729__h-4__c-32__first_difference,1729,4,32,,baseline,strict_online,,first_difference,test,chirp,52,0.08235567076612262,0.09400754093880637,
seed-1729__h-4__c-32__first_difference,1729,4,32,,baseline,strict_online,,first_difference,test,ramp,52,0.012130908598248981,0.014249059761940248,
seed-1729__h-4__c-32__first_difference,1729,4,32,,baseline,strict_online,,first_difference,test,piecewise_linear,52,0.011116287657394131,0.01382502164571395,
seed-1729__h-4__c-32__first_difference,1729,4,32,,baseline,strict_online,,first_difference,test,first_order_response,52,0.012142436002255728,0.015202468269831617,
seed-1729__h-4__c-32__first_difference,1729,4,32,,baseline,strict_online,,first_difference,test,second_order_response,52,0.011277268437640625,0.014153421003776454,
seed-1729__h-4__c-32__first_difference,1729,4,32,,baseline,strict_online,,first_difference,test,regime_change,52,0.10294018863726456,0.11359764831245096,
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,candidate,strict_online,,absolute_geometry,validation,sine,51,0.020025122096214005,0.024412065766504346,
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,candidate,strict_online,,absolute_geometry,validation,chirp,51,0.03183085875089885,0.040135795700280454,
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,candidate,strict_online,,absolute_geometry,validation,ramp,51,0.009699371290105395,0.012048231446003626,
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,candidate,strict_online,,absolute_geometry,validation,piecewise_linear,51,0.013814994146704692,0.016756198371271683,
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,candidate,strict_online,,absolute_geometry,validation,first_order_response,51,0.012073202926499124,0.014937454459944493,
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,candidate,strict_online,,absolute_geometry,validation,second_order_response,51,0.011497370880669391,0.013971627532656924,
seed-1729__h-4__c-32__absolute_geometry,1729,4,32,0.1,candidate,strict_online,,absolute_geometry,validation,regime_change,51,0.035691341696631226,0.04327249063630306,
