condition_id,seed,horizon,context_length,tolerance,representation,split,signal,n_examples,mae,rmse
seed-1729__h-16__c-32__tol-0p03__vectorchain,1729,16,32,0.03,vectorchain,test,first_order_response,52,0.024382233017430612,0.04074026940365852
seed-1729__h-16__c-32__tol-0p03__vectorchain,1729,16,32,0.03,vectorchain,test,second_order_response,52,0.028508455280241502,0.039499273608079206
seed-1729__h-16__c-32__tol-0p03__vectorchain,1729,16,32,0.03,vectorchain,test,regime_change,52,0.3321882748660408,0.4156124593145461
seed-1729__h-16__c-32__tol-0p1__vectorchain,1729,16,32,0.1,vectorchain,validation,sine,51,0.08593759102367644,0.09602011819673902
seed-1729__h-16__c-32__tol-0p1__vectorchain,1729,16,32,0.1,vectorchain,validation,chirp,51,0.109606824202787,0.1416508302130907
seed-1729__h-16__c-32__tol-0p1__vectorchain,1729,16,32,0.1,vectorchain,validation,ramp,51,0.0148345629837292,0.017397725751952826
seed-1729__h-16__c-32__tol-0p1__vectorchain,1729,16,32,0.1,vectorchain,validation,piecewise_linear,51,0.025917524982630186,0.037863027568848476
seed-1729__h-16__c-32__tol-0p1__vectorchain,1729,16,32,0.1,vectorchain,validation,first_order_response,51,0.01664952199113145,0.020051863286178525
seed-1729__h-16__c-32__tol-0p1__vectorchain,1729,16,32,0.1,vectorchain,validation,second_order_response,51,0.017851247376108017,0.022242330944825854
seed-1729__h-16__c-32__tol-0p1__vectorchain,1729,16,32,0.1,vectorchain,validation,regime_change,51,0.12858966005470412,0.18248590265986742
