representation,split,horizon,context_length,tolerance,n_seeds,n_successes,n_failures,mae_mean,mae_median,rmse_mean,rmse_median,rmse_q1,rmse_q3,rmse_min,rmse_max,rmse_ratio_vs_raw_mean,rmse_ratio_vs_raw_median,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,step_reduction_factor_vs_raw_mean,scalar_reduction_factor_vs_raw_mean,predictive_parity_rate,structural_reduction_success_rate,payload_reduction_success_rate,joint_success_rate,robust_cell,representation_runtime_median_s
vectorchain,test,4,32,0.03,5,5,0,0.03238811860171587,0.03238449712160676,0.04954116959881116,0.05004495486783949,0.04992653639680615,0.05036316072922882,0.04491164079986313,0.05245955520031824,1.2504140548569564,1.2692115955737842,3.278021978021978,16.39010989010989,131.12087912087912,9.795725916391884,1.9591451832783768,0.0,1.0,1.0,0.0,False,0.94268
vectorchain,test,4,32,0.1,5,5,0,0.02157506194318811,0.019894576167300847,0.03390202563651136,0.029083289316642495,0.028623090831822955,0.034061747572332796,0.024841712681003703,0.05290028778075483,0.8566877441341557,0.7329335074215673,1.2241758241758243,6.1208791208791204,48.967032967032964,26.140120034595746,5.228024006919151,0.8,1.0,1.0,0.8,True,0.7976859
vectorchain,test,4,64,0.01,5,5,0,0.03800546559936674,0.038369664662920334,0.06014792224210648,0.06082858879121933,0.05816731526196055,0.061444521058327164,0.05665241024583793,0.06364677585318745,0.9591307744665972,0.9623439748435342,33.84450549450549,169.22252747252747,1353.7802197802198,1.8916447711106286,0.3783289542221257,1.0,0.0,0.0,0.0,False,4.1493552
vectorchain,test,4,64,0.03,5,5,0,0.03346820219156424,0.03454600107380882,0.050472601456619484,0.05116737845164483,0.047381698874915855,0.052961209263235866,0.04551188053500962,0.055340840158291243,0.8047972612053877,0.8154589229805692,6.018681318681319,30.09340659340659,240.74725274725273,10.664378709741595,2.132875741948319,1.0,1.0,1.0,1.0,True,1.7118599
vectorchain,test,4,64,0.1,5,5,0,0.018905887277140737,0.019020941868708154,0.026578980227375537,0.02618252654553255,0.025052720955145075,0.02837950122375335,0.02375335006491114,0.02952680234753557,0.4238233711493004,0.4184823124320185,1.6796703296703295,8.398351648351648,67.18681318681318,38.104414976858756,7.620882995371751,1.0,1.0,1.0,1.0,True,1.3930862
vectorchain,test,4,128,0.01,5,5,0,0.036786088116798885,0.038640307034824926,0.05461271162756596,0.056598100796399396,0.0499375031448948,0.05795474011006669,0.04856328825728289,0.06000992582918598,0.7033156109948103,0.7251699293061452,67.95934065934065,339.7967032967033,2718.3736263736264,1.883842330969695,0.376768466193939,1.0,0.0,0.0,0.0,False,8.2392368
vectorchain,test,4,128,0.03,5,5,0,0.035704689098570386,0.03458024539552123,0.054207046776711995,0.05346383223273184,0.052218333168174584,0.05371507504033051,0.04531955444934715,0.0663184389929759,0.6980898232425223,0.6882308173165558,11.65879120879121,58.293956043956044,466.35164835164835,10.997225154905358,2.199445030981072,1.0,1.0,1.0,1.0,True,2.9311949
vectorchain,test,4,128,0.1,5,5,0,0.0266318215195775,0.027280294555835496,0.041119274688784194,0.04124664934316991,0.040713193647886656,0.04167445869494322,0.037271476067254145,0.044690595690667044,0.5295710321823459,0.5284776232315683,2.6137362637362633,13.06868131868132,104.54945054945055,48.97313635857132,9.794627271714262,1.0,1.0,1.0,1.0,True,2.5079756
vectorchain,test,16,32,0.01,5,5,0,0.13345929752851998,0.13342172142142839,0.23709493201991502,0.2379262806992077,0.23185709493655368,0.23892438192833812,0.23150314980799944,0.24526375272747625,1.1618611728195143,1.165961138253695,16.803846153846155,84.01923076923076,672.1538461538461,1.9050656472360772,0.38101312944721544,0.0,0.0,0.0,0.0,False,2.0989257
vectorchain,test,16,32,0.03,5,5,0,0.12197160682325554,0.12251959509532874,0.21054707505419956,0.21264552289821806,0.21091701585346187,0.21265563675932372,0.19364413499180455,0.22287306476818966,1.0317555890477919,1.0394090210780784,3.2730769230769226,16.365384615384617,130.92307692307693,9.807134819879199,1.9614269639758397,1.0,1.0,1.0,1.0,True,0.9315939
